Length	RecursiveTime	DynamicTime
1	6.931e-06	3.433e-06
2	2.738e-06	3.568e-06
3	5.989e-06	9.028e-06
4	1.7052e-05	9.629e-06
5	3.0149e-05	4.8893e-05
6	0.000128385	0.000209545
7	0.000435196	8.0684e-05
8	0.00178298	0.00297868
9	0.00757422	0.00127064
10	0.0044022	0.000117138
11	0.0467692	0.0009498
12	0.0350002	2.9905e-05
13	0.814793	0.0337586
14	1.36013	6.2721e-05
15	4.24824	5.7406e-05
